feature_set,classifier,trial_number,state,kappa,k_best,use_smote,mlp_hidden1,mlp_hidden2,mlp_alpha,mlp_lr
B,MLP,60,PRUNED,0.9400657247279782,70,True,82,8,0.04337693321695707,0.010462010511710857
B,MLP,61,COMPLETE,0.9600870135188402,165,True,157,11,4.215782896637511e-06,0.0010762927940036705
B,MLP,62,PRUNED,0.9533989382783609,126,False,244,19,1.6153897457182238e-06,0.00011184331633307847
B,MLP,63,PRUNED,0.954524560369156,147,False,41,25,0.0016446187728802525,0.0009214595914087088
B,MLP,64,PRUNED,0.9534136851075037,169,False,239,8,3.200411752274909e-05,0.0007638805231447903
B,MLP,65,PRUNED,0.9511713402948883,154,True,157,9,1.815100858644799e-06,0.0001324757950552148
B,MLP,66,COMPLETE,0.9636191378504899,168,True,246,8,6.310513821467876e-05,0.0006626294601325551
B,MLP,67,COMPLETE,0.9600675566857866,164,True,83,29,0.004159026329186569,0.009699504310881244
B,MLP,68,PRUNED,0.9468045748942346,168,False,20,25,7.098584141990435e-06,0.054432828256486945
B,MLP,69,PRUNED,0.9313625200139517,49,False,16,8,1.3346366347893374e-05,0.025022865223453688
B,MLP,70,PRUNED,0.9511999648027533,130,True,204,8,8.39804576290728e-05,0.0023505579209394767
B,MLP,71,PRUNED,0.9511860871240312,159,True,226,11,3.56653783102778e-05,0.00041292882998132327
B,MLP,72,PRUNED,0.9567251052378128,166,True,209,13,1.6048358066869847e-06,0.0007238495772030288
B,MLP,73,COMPLETE,0.9618504118750435,166,True,238,8,4.7944188183764104e-05,0.000650499348218122
B,MLP,74,PRUNED,0.9578521558197132,162,True,212,10,3.5247488418440064e-06,0.0020103956968619777
B,MLP,75,PRUNED,0.9200719772333597,66,True,50,41,0.0022335686620204675,0.0971483013260407
B,MLP,76,COMPLETE,0.9627317114154167,169,True,240,9,9.864124537191673e-06,0.003504996675993106
B,MLP,77,PRUNED,0.9556382680366988,120,False,197,18,1.3055352575584172e-06,0.0027195848591229665
B,MLP,78,COMPLETE,0.9689554623229384,156,True,252,12,0.00010420971911205567,0.005907774843291065
B,MLP,79,PRUNED,0.9534151593003465,161,True,124,16,0.00032958462125966167,0.006013966329781309
B,MLP,80,PRUNED,0.9290663889558495,168,False,246,8,0.00011019358563395121,0.03363166738615238
B,MLP,81,PRUNED,0.9446193239509676,89,False,61,26,0.07839191902954876,0.005435244531227781
B,MLP,82,PRUNED,0.9335068004415227,155,True,227,13,0.00017281419977330473,0.043983920493508806
B,MLP,83,COMPLETE,0.9618433991144517,169,True,195,8,4.613736680681157e-05,0.0052994689751168335
B,MLP,84,PRUNED,0.9512214560139689,169,False,29,9,0.0010006952720081055,0.007953866867387372
B,MLP,85,PRUNED,0.953426887755751,121,True,221,14,0.0005464888868824441,0.006656180612740991
B,MLP,86,PRUNED,0.944663432683629,118,False,61,74,1.3399149753463273e-05,0.026843002255577626
B,MLP,87,PRUNED,0.9290972624479166,21,True,256,75,9.32195951242245e-06,0.00043482512126137725
B,MLP,88,PRUNED,0.93348032267004,48,False,64,10,3.1281734469106277e-06,0.0010801430628176265
B,MLP,89,PRUNED,0.9467854421848444,146,True,241,27,8.823707661977616e-05,0.012144458577870982
B,MLP,90,PRUNED,0.939107812987669,103,False,144,117,0.03538488078600358,0.0026344433619380214
B,MLP,91,COMPLETE,0.9583126473135488,145,True,206,11,0.043553699857105714,0.017054760183909144
B,MLP,92,COMPLETE,0.9609632773402097,165,True,244,9,2.4870622842300532e-05,0.006482385330172347
B,MLP,93,PRUNED,0.9534151490142151,167,True,192,8,1.4531218131044668e-06,0.0014985608258992506
